,id
2058,57905008
2059,57905009
2061,57905012
2062,57905013
2063,57905014
2064,57905015
2065,57905016
2066,57905017
2067,57905018
2068,57905021
2069,57905022
2070,57905023
2071,57905024
2072,57905025
2073,57905026
2074,57905028
2075,57905029
2076,57905030
2077,57905032
2078,57905033
2079,57905034
2081,57905036
2082,57905037
2083,57905038
2084,57905039
2112,57905085
2113,57905088
2114,57905090
2115,57905096
2280,57905380
2282,57905382
2283,57905383
2287,57905387
2289,57906001
2299,57907001
2300,57907004
2301,57907007
2317,57909002
2318,57909003
2319,57909004
2320,57909005
2322,57909008
2323,57909009
2324,57909010
2388,57910002
2389,57910003
2391,57910007
2392,57910009
2393,57910010
2426,57911001
2434,57912002
2435,57912003
2436,57912004
2437,57912005
2438,57912006
2439,57912007
2471,57913001
2480,57914001
2481,57914002
2482,57914003
2483,57914004
2484,57914005
2485,57914006
2486,57914007
2530,57916002
2531,57916003
2532,57916004
2533,57916005
2535,57916008
2585,57919001
2589,57922001
2590,57922003
2609,59901001
2618,60902001
2629,61901002
2630,61901003
2632,61901006
2633,61901007
2634,61901008
2635,61901009
2636,61901039
2672,61902001
2673,61902002
2674,61902004
2676,61902007
2677,61902008
2678,61902010
2734,61903001
2738,61905001
2739,61905002
2744,61906001
2747,61907001
2752,61908001
2753,61908003
2759,61910001
2764,61911001
2765,61911005
2766,61911007
2767,61911008
2768,61911010
2769,61911011
2796,61912001
2801,61914001
2810,62901001
2815,62903001
2820,62904001
2827,64903001
2831,65901001
2836,66901001
2838,66902001
2841,66903002
2844,67902001
2845,67902004
2848,67903001
2851,67904001
2854,67907001
2857,67908001
2861,68901002
2862,68901003
2865,68901011
2866,68901014
2867,68901015
2906,69902001
2911,70903002
2921,70905002
2926,70907001
2928,70908001
2929,70908003
2930,70908010
2942,70910001
2945,70911001
2952,70912002
2953,70912003
2954,70912004
2955,70912010
2969,70915001
2976,71803001
2977,71803002
2978,71804001
2979,71804002
2991,71901001
2992,71901002
2993,71901004
2994,71901009
3005,71902001
3006,71902002
3007,71902003
3008,71902004
3009,71902005
3010,71902006
3011,71902008
3012,71902009
3013,71902010
3014,71902011
3015,71902012
3016,71902015
3018,71902020
3019,71902025
3077,71903001
3081,71904001
3087,71905001
3088,71905002
3089,71905003
3090,71905004
3091,71905005
3092,71905007
3093,71905008
3094,71905010
3095,71905014
3096,71905017
3098,71905033
3137,71906001
3140,71907001
3141,71907003
3150,71908001
3154,71909001
3155,71909002
3157,71909004
3158,71909005
3159,71909007
3160,71909008
3161,71909009
3162,71909011
3203,72801001
3204,72801101
3205,72801103
3206,72801104
3207,72801107
3208,72801108
3209,72801109
3210,72801110
3211,72801112
3212,72801113
3213,72801115
3214,72801116
3215,72801117
3216,72801118
3217,72801121
3218,72801128
3219,72801129
3220,72801130
3221,72801131
3222,72801135
3223,72801136
3224,72801137
3225,72801138
3226,72801139
3227,72801142
3228,72801143
3229,72801144
3230,72801145
3231,72801146
3232,72801147
3233,72801148
3234,72801149
3235,72801150
3237,72801152
3238,72801153
3239,72801154
3241,72801156
3242,72801157
3243,72802001
3244,72802002
3246,72902001
3249,72903001
3260,73903001
3264,73905001
3267,74903001
3273,74905001
3275,74907001
3278,74909001
3282,74911001
3284,74912001
3287,74917001
3292,75902001
3298,75908001
3302,77901001
3306,77902001
3311,79901001
3312,79901002
3313,79901003
3315,79901008
3316,79901009
3317,79901010
3318,79901011
3355,79906001
3359,79907001
3360,79907002
3361,79907004
3362,79907005
3363,79907006
3364,79907007
3365,79907008
3366,79907010
3367,79907011
3368,79907012
3369,79907013
3370,79907016
3441,79910001
3446,80901001
3449,81902002
3453,81904001
3454,81904003
3457,81905002
3461,82902001
3464,82903001
3465,82903003
3471,83903001
3472,83903002
3480,84901001
3481,84901009
3483,84901012
3484,84901014
3497,84902001
3498,84902003
3511,84906001
3512,84906002
3514,84906010
3515,84906014
3526,84908001
3531,84909001
3532,84909003
3537,84910001
3538,84910002
3539,84910003
3540,84910004
3541,84910006
3543,84910009
3544,84910010
3545,84910011
3583,84911001
3589,85902001
3594,86901001
3595,86901002
3600,86902001
3605,88902001
3608,89901001
3613,89903001
3614,89903002
3615,89903004
3621,90904001
3628,91901001
3631,91902001
3633,91903001
3634,91903002
3642,91905001
3646,91906002
3647,91906004
3649,91906037
3662,91908001
3666,91909001
3670,91910001
3673,91913001
3676,91914001
3679,91917001
3682,91918001
3685,92801001
